Stop_ID,Stop_Name,Latitude,Longitude,Route_Number,Address,Additional_Info
11773635201,Công ty Huê Phong,10.8484164,106.6484244,Unknown,,platform
11773635202,Đường số 53,10.8469903,106.6454907,Unknown,,platform
11773635203,Ngã ba Cây Trâm,10.8460431,106.6434992,Unknown,,platform
11773635204,Trường Tiểu học An Hội,10.8450343,106.6414965,Unknown,,platform
11773635205,Ngã ba Nguyễn Duy Cung,10.8429186,106.6392426,Unknown,,platform
11773635206,Chùa Linh Sơn Hải Hội,10.8410171,106.6380159,Unknown,,platform
11773635207,Nhà sách Phan Huy Ích,10.8374657,106.6362908,Unknown,,platform
11773635208,Trung tân Y khoa Dân Sinh,10.8349355,106.6351699,Unknown,,platform
11773635209,Trường Cao đẳng Du lịch,10.8324515,106.633994,Unknown,,platform
11774744220,Vincom Plaza Phan Văn Trị,10.8271499,106.6884442,Unknown,,platform
11774744221,PCCC Quận Gò Vấp,10.8285099,106.6849843,Unknown,,platform
11774744223,Cây xăng Petrolimex - Phan Văn Trị,10.8303914,106.6791589,Unknown,,platform
11774744224,Nhà máy Z751,10.8316943,106.6754682,Unknown,,platform
11774744226,Country House,10.8336647,106.6699562,Unknown,,platform
11774744227,Chợ Thông Tây,10.8349143,106.6664899,Unknown,,platform
11774744229,Ngã ba Nguyễn Văn Lương,10.8381614,106.6651883,Unknown,,platform
11774744230,UBND Phường 16,10.8421157,106.6647947,Unknown,,platform
11774744231,Trường Đại học Hồng Bàng,10.8454815,106.6648066,Unknown,,platform
11774744232,Chùa Tiên Long,10.8479826,106.6646183,Unknown,,platform
11774744243,Nhà thờ Nữ Vương Hòa Bình,10.8568394,106.6538451,Unknown,,platform
11774744244,Cầu Cụt,10.85434,106.6568186,Unknown,,platform
11774744245,Chùa Tiên Long,10.8480035,106.6645415,Unknown,,platform
11774744246,Trường Đại học Hồng Bàng,10.8446375,106.6647386,Unknown,,platform
11774744247,UBND Phường 16,10.8424703,106.6646841,Unknown,,platform
11774744248,Ngã ba Nguyễn Văn Lương,10.8392196,106.6652588,Unknown,,platform
11774744249,Chợ Thông Tây,10.8363273,106.6646925,Unknown,,platform
11774744250,Chợ Thông Tây,10.8349923,106.6658839,Unknown,,platform
11774744251,Country House,10.833851,106.6690259,Unknown,,platform
